
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-03 10:31:19 /api/plots ......................................................................... ~ 502.81ms
  2026-04-03 10:31:23 /api/plots ......................................................................... ~ 501.78ms
  2026-04-03 10:31:23 /api/plots ......................................................................... ~ 510.74ms
  2026-04-03 10:31:24 /api/plots/1 ....................................................................... ~ 515.61ms
  2026-04-03 10:31:24 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 10:31:24 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 10:31:25 /api/plots/1/rotations ............................................................. ~ 501.19ms
  2026-04-03 10:31:25 /api/plots/1/access ................................................................ ~ 496.20ms
  2026-04-03 10:31:26 /api/plots/1 ............................................................................. ~ 1s
  2026-04-03 10:31:26 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 10:31:26 /api/plots/1/plants ................................................................ ~ 508.47ms
  2026-04-03 10:31:27 /api/plots/1/rotations ............................................................. ~ 516.92ms
  2026-04-03 10:31:27 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 10:31:38 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 10:32:04 /api/plots/1/plants ................................................................ ~ 501.38ms
  2026-04-03 10:32:18 /api/plots/1/plants ................................................................ ~ 519.01ms
  2026-04-03 10:32:25 /api/plots/1/plants ................................................................ ~ 503.81ms
  2026-04-03 10:32:32 /api/plots/1/plants .................................................................. ~ 0.77ms
  2026-04-03 10:32:37 /api/plots/1/plants ................................................................ ~ 508.81ms
  2026-04-03 10:32:41 /api/plots/1/plants ...................................................................... ~ 3s
  2026-04-03 10:32:45 /api/plants/search ................................................................. ~ 513.43ms
  2026-04-03 10:33:32 /api/plants/search ....................................................................... ~ 4s
  2026-04-03 10:33:36 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 10:33:36 /api/plants/search ....................................................................... ~ 5s
  2026-04-03 10:33:40 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 10:33:51 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 10:33:53 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 10:33:53 /api/plants/search ....................................................................... ~ 3s
  2026-04-03 10:34:07 /api/plants/search ................................................................. ~ 514.60ms
  2026-04-03 10:34:13 /api/plots/1/plants ...................................................................... ~ 2s
  2026-04-03 10:34:16 /api/plants/search ....................................................................... ~ 2s
  2026-04-03 10:34:22 /api/plots ............................................................................... ~ 1s
  2026-04-03 10:34:22 /api/plots ......................................................................... ~ 501.59ms
  2026-04-03 10:34:23 /api/plots/1 ....................................................................... ~ 516.78ms
  2026-04-03 10:34:23 /api/plots/1/calendars ................................................................... ~ 1s
  2026-04-03 10:34:24 /api/plots/1 ......................................................................... ~ 0.32ms
  2026-04-03 10:34:24 /api/plots/1/calendars ............................................................. ~ 526.79ms
  2026-04-03 10:34:29 /api/plots/1/calendars ................................................................... ~ 2s
  2026-04-03 10:34:31 /api/plots/1/calendars/1 ........................................................... ~ 511.84ms
  2026-04-03 10:34:31 /api/calendars/1/tasks ............................................................. ~ 507.21ms
  2026-04-03 10:54:26 /api/plots ............................................................................... ~ 1s
  2026-04-03 10:54:26 /api/me .................................................................................. ~ 1s
  2026-04-03 10:54:27 /api/plots ............................................................................... ~ 1s
  2026-04-03 10:54:28 /api/plots/1/calendars ................................................................... ~ 1s
  2026-04-03 10:54:28 /api/plots/1 ....................................................................... ~ 524.82ms
  2026-04-03 10:54:28 /api/me ............................................................................ ~ 509.45ms
  2026-04-03 10:54:29 /api/plots/1/calendars ............................................................. ~ 509.91ms
  2026-04-03 10:54:29 /api/plots/1 ....................................................................... ~ 504.62ms
  2026-04-03 10:54:29 /api/plots/1/calendars/1 ................................................................. ~ 1s
  2026-04-03 10:54:30 /api/calendars/1/tasks ................................................................... ~ 1s
  2026-04-03 10:56:31 /api/plots ......................................................................... ~ 503.85ms
  2026-04-03 10:56:31 /api/plots/1 ....................................................................... ~ 513.00ms
  2026-04-03 10:56:31 /api/plots/1/calendars ................................................................... ~ 1s
  2026-04-03 10:56:33 /api/inventory ..................................................................... ~ 504.03ms
  2026-04-03 10:56:33 /api/plots/1/calendars/1 ................................................................. ~ 1s
  2026-04-03 10:56:33 /api/calendars/1/tasks ................................................................... ~ 1s
